timestamp,sample_index,temperature,humidity
13:10:43,5,22.14,46.86
13:10:46,6,22.17,46.89
13:10:49,7,22.14,46.97
13:10:52,8,22.16,46.95
13:13:57,9,22.14,46.99
13:14:00,10,22.12,47.03
13:14:04,11,22.12,47.1
13:14:07,12,22.12,47.18
13:14:10,13,22.12,47.22
13:14:13,14,22.1,47.34
13:14:16,15,22.1,47.29
13:14:19,16,22.1,47.34
13:14:22,17,22.12,47.31
13:14:25,18,22.07,47.32
13:14:28,19,22.09,47.28
13:14:31,20,22.09,47.31
13:14:34,21,22.07,47.31
13:14:38,22,22.07,47.33
13:14:40,23,22.03,47.32
13:14:44,24,22.07,47.33
13:14:47,25,22.07,47.36
13:14:49,26,22.02,47.29
13:14:52,27,22.03,47.31
13:14:55,28,22.03,47.35
13:14:58,29,22.0,47.4
13:15:02,30,22.04,47.4
13:15:04,31,22.0,47.44
13:15:08,32,22.03,47.44
13:15:11,33,22.0,47.41
13:15:14,34,21.99,47.41
13:15:17,35,21.97,47.38
13:15:20,36,21.97,47.43
13:15:23,37,22.0,47.42
13:15:26,38,21.99,47.48
13:15:29,39,21.96,47.39
13:15:32,40,21.99,47.26
13:15:35,41,21.96,47.08
13:15:38,42,21.97,47.14
13:15:41,43,22.44,59.36
13:15:45,44,25.89,71.94
13:15:47,45,28.27,81.06
13:15:50,46,27.63,85.8
13:15:53,47,27.11,71.63
13:15:57,48,26.45,63.64
13:15:59,49,25.89,59.55
13:16:03,50,25.33,57.87
13:16:05,51,24.89,56.84
13:16:08,52,24.47,55.56
13:16:11,53,24.06,53.49
13:16:16,54,23.7,50.42
13:16:17,55,23.49,49.83
13:16:21,56,23.37,49.92
13:16:24,57,23.25,50.05
13:16:27,58,23.19,49.99
13:16:30,59,23.11,49.7
13:16:33,60,23.01,49.58
13:16:36,61,22.95,49.44
13:16:39,62,22.91,49.23
13:16:43,63,22.87,48.69
13:16:45,64,22.83,48.14
13:16:48,65,22.79,47.94
13:16:51,66,22.75,47.9
13:16:54,67,22.75,47.87
13:16:57,68,22.74,47.72
13:17:01,69,22.69,47.64
13:17:03,70,22.67,47.47
13:17:07,71,22.64,47.35
13:17:09,72,22.6,47.17
13:17:12,73,22.57,47.07
13:17:15,74,22.55,47.08
13:17:18,75,22.54,47.07
13:17:21,76,22.51,47.08
13:17:25,77,22.5,47.07
13:17:28,78,22.47,47.11
13:17:31,79,22.47,47.16
13:17:34,80,22.43,47.18
13:17:37,81,22.41,47.21
13:17:40,82,22.41,47.2
13:17:43,83,22.4,47.23
13:17:46,84,22.39,47.28
13:17:49,85,22.36,47.26
13:17:52,86,22.33,47.21
13:17:55,87,22.3,47.2
13:17:58,88,22.3,47.23
13:18:01,89,22.27,47.27
13:18:04,90,22.29,47.26
13:18:08,91,22.27,47.34
13:18:11,92,22.23,47.38
13:18:13,93,22.21,47.34
13:18:16,94,22.24,47.4
13:18:19,95,22.21,47.41
13:18:22,96,22.2,47.41
13:18:25,97,22.18,47.44
13:18:29,98,22.17,47.44
13:18:32,99,22.17,47.48
13:18:35,100,22.13,47.48
13:18:38,101,22.16,47.51
13:18:41,102,22.14,47.53
13:18:44,103,22.12,47.56
13:18:47,104,22.12,47.54
13:18:50,105,22.12,47.56
13:18:53,106,22.1,47.61
13:18:56,107,22.1,47.62
13:18:59,108,22.09,47.76
13:19:02,109,22.09,47.97
13:19:05,110,22.1,47.89
13:19:08,111,22.07,47.93
13:19:11,112,22.06,47.89
13:19:14,113,22.07,47.9
13:19:18,114,22.04,47.93
13:19:20,115,22.04,47.93
13:19:23,116,22.03,47.92
13:19:26,117,22.04,47.93
13:19:30,118,22.02,47.95
13:19:33,119,22.02,47.94
13:19:35,120,22.02,47.93
13:19:39,121,21.99,47.94
13:19:42,122,22.02,48.0
13:19:45,123,22.0,48.0
13:19:48,124,22.0,48.06
13:19:51,125,21.96,48.04
13:19:54,126,22.02,48.06
13:19:57,127,21.96,48.06
13:20:00,128,21.94,48.13
13:20:03,129,21.94,48.09
13:20:06,130,21.93,48.13
13:20:09,131,21.94,48.14
13:20:12,132,21.93,48.1
13:20:15,133,21.93,48.07
13:20:18,134,21.92,48.1
13:20:21,135,21.9,48.12
13:20:24,136,21.88,48.07
13:20:27,137,21.89,48.16
13:20:30,138,21.89,48.22
13:20:33,139,21.86,48.22
13:20:37,140,21.86,48.24
13:20:39,141,21.89,48.28
13:20:42,142,21.85,48.27
13:20:46,143,21.88,48.29
13:20:49,144,21.83,48.25
13:20:52,145,21.85,48.29
13:20:55,146,21.83,48.27
13:20:58,147,21.83,48.3
13:21:01,148,21.83,48.3
13:21:04,149,21.8,48.3
13:21:07,150,21.8,48.3
13:21:10,151,21.82,48.34
13:21:13,152,21.79,48.35
13:21:16,153,21.82,48.3
13:21:19,154,21.79,48.36
13:21:22,155,21.8,48.38
13:21:25,156,21.8,48.43
13:21:29,157,21.78,48.42
13:21:32,158,21.79,48.45
13:21:35,159,21.8,48.5
13:21:37,160,21.78,48.49
13:21:40,161,21.79,48.49
13:21:43,162,21.79,48.55
13:21:46,163,21.78,48.54
13:21:50,164,21.78,48.54
13:21:53,165,21.79,48.56
13:21:56,166,21.76,48.76
13:21:59,167,21.79,48.86
13:22:02,168,21.79,48.93
13:22:05,169,21.78,48.98
13:22:08,170,21.8,49.11
13:22:11,171,21.78,49.88
13:22:14,172,21.8,49.54
13:22:17,173,21.8,49.36
13:22:20,174,21.82,49.25
13:22:23,175,21.8,49.2
13:22:26,176,21.79,49.14
13:22:29,177,21.79,49.12
13:22:32,178,21.78,49.09
13:22:35,179,21.76,49.09
13:22:38,180,21.78,49.07
13:22:41,181,21.76,49.03
13:22:44,182,21.76,49.04
13:22:47,183,21.76,48.98
13:22:50,184,21.78,48.81
13:22:54,185,21.78,48.76
13:22:56,186,21.78,48.76
13:23:00,187,21.76,48.69
13:23:03,188,21.75,48.66
13:23:06,189,21.8,48.57
13:23:09,190,21.79,48.5
13:23:12,191,21.78,48.57
13:23:15,192,21.78,48.74
13:23:18,193,21.79,48.77
13:23:21,194,21.8,48.81
13:23:24,195,21.79,48.85
13:23:27,196,21.78,48.88
13:23:30,197,21.78,48.95
13:23:33,198,21.8,48.89
13:23:36,199,21.88,49.2
13:23:39,200,21.93,54.22
13:23:42,201,25.01,63.27
13:23:45,202,25.93,75.55
13:23:48,203,28.18,86.11
13:23:51,204,27.25,90.71
13:23:54,205,26.48,90.93
13:23:58,206,25.63,85.91
13:24:00,207,24.99,79.83
13:24:03,208,24.51,78.67
13:24:07,209,24.13,77.5
13:24:09,210,23.8,75.95
13:24:13,211,23.53,74.69
13:24:16,212,23.35,73.82
13:24:19,213,23.22,73.78
13:24:22,214,23.09,73.08
13:24:25,215,23.02,71.57
13:24:28,216,22.95,69.43
13:24:31,217,22.88,67.26
13:24:34,218,22.81,64.68
13:24:37,219,22.78,61.98
13:24:40,220,22.75,60.2
13:24:43,221,22.71,58.7
13:24:46,222,22.68,57.17
13:24:49,223,22.65,56.06
13:24:52,224,22.63,55.21
13:24:55,225,22.61,54.6
13:24:58,226,22.57,54.02
13:25:01,227,22.55,53.5
13:25:04,228,22.53,53.02
13:25:07,229,22.53,52.59
13:25:11,230,22.48,52.19
13:25:14,231,22.48,51.91
13:25:16,232,22.47,51.57
13:25:20,233,22.47,51.21
13:25:22,234,22.45,50.94
13:25:25,235,22.4,50.68
13:25:29,236,22.4,50.48
13:25:32,237,22.39,50.27
13:25:35,238,22.41,50.12
13:25:38,239,22.39,49.98
13:25:41,240,22.37,49.87
13:25:44,241,22.34,49.71
13:25:47,242,22.34,49.56
13:25:50,243,22.33,49.36
13:25:53,244,22.32,49.11
13:25:56,245,22.32,48.95
13:25:59,246,22.3,48.67
13:26:02,247,22.29,48.56
13:26:05,248,22.29,48.46
13:26:08,249,22.25,48.36
13:26:11,250,22.27,48.36
13:26:14,251,22.27,48.38
13:26:17,252,22.27,48.39
13:26:21,253,22.23,48.03
13:26:24,254,22.24,47.81
13:26:26,255,22.24,47.77
13:26:30,256,22.24,47.73
13:26:32,257,22.23,47.72
13:26:35,258,22.23,47.8
13:26:39,259,22.27,49.91
13:26:42,260,22.33,51.01
13:26:45,261,22.29,51.35
13:26:48,262,22.25,50.51
13:26:51,263,22.3,50.03
13:26:54,264,22.3,49.59
13:26:57,265,22.29,49.13
13:27:00,266,22.3,48.81
13:27:03,267,22.25,48.69
13:27:06,268,22.27,48.63
13:27:09,269,22.25,48.55
13:27:12,270,22.24,48.57
13:27:15,271,22.25,48.55
13:27:19,272,22.23,48.54
13:27:21,273,22.25,48.56
13:27:24,274,22.23,48.51
13:27:27,275,22.25,48.64
13:27:30,276,22.21,48.59
13:27:33,277,22.21,48.46
13:27:37,278,22.21,48.62
13:27:39,279,22.2,48.61
13:27:42,280,22.2,48.59
13:27:46,281,22.2,48.54
13:27:49,282,22.16,48.37
13:27:52,283,22.16,48.3
13:27:55,284,22.14,48.29
13:27:58,285,22.16,48.18
13:28:01,286,22.13,48.16
13:28:04,287,22.1,48.1
13:28:07,288,22.1,48.03
13:28:10,289,22.12,47.92
13:28:13,290,22.1,47.88
13:28:16,291,22.1,47.92
13:28:19,292,22.07,47.93
13:28:22,293,22.1,47.92
13:28:26,294,22.07,47.9
13:28:28,295,22.07,47.88
13:28:31,296,22.04,47.88
13:28:34,297,22.07,47.87
13:28:37,298,22.04,47.85
13:28:40,299,22.03,47.77
13:28:43,300,22.03,47.82
13:28:46,301,22.02,47.81
13:28:50,302,22.0,47.83
13:28:52,303,22.02,47.89
13:28:55,304,22.0,47.8
13:28:58,305,22.0,47.81
13:29:01,306,22.02,47.79
13:29:04,307,21.99,47.68
13:29:07,308,21.97,47.62
13:29:10,309,21.96,47.49
13:29:13,310,21.99,47.23
13:29:16,311,21.96,47.2
13:29:19,312,21.94,47.11
13:29:22,313,21.96,47.02
13:29:26,314,21.93,46.99
13:29:29,315,21.92,46.92
13:29:32,316,21.92,46.85
13:29:35,317,21.92,46.88
13:29:38,318,21.93,46.83
13:29:41,319,21.92,46.82
13:29:44,320,21.9,46.79
13:29:47,321,21.9,46.79
13:29:50,322,21.9,46.84
13:29:53,323,21.89,46.83
13:29:56,324,21.89,46.91
13:29:59,325,21.86,46.97
13:30:02,326,21.88,46.98
13:30:05,327,21.88,47.03
13:30:08,328,21.88,47.11
13:30:11,329,21.86,47.18
13:30:15,330,21.85,47.25
13:30:18,331,21.88,47.29
13:30:21,332,21.86,47.32
13:30:24,333,21.86,47.34
13:30:27,334,21.88,47.35
13:30:30,335,21.89,47.46
13:30:33,336,21.88,47.57
13:30:36,337,21.89,47.77
13:30:39,338,21.86,48.03
13:30:42,339,21.89,48.1
13:30:45,340,21.86,48.12
13:30:48,341,21.86,48.13
13:30:51,342,21.85,48.23
13:30:55,343,21.88,48.24
13:30:57,344,21.88,48.24
13:31:00,345,21.88,48.31
13:31:03,346,21.88,48.37
13:31:07,347,21.89,48.31
13:31:10,348,21.86,48.37
13:31:13,349,21.86,48.33
13:31:16,350,21.88,48.32
13:31:19,351,21.86,48.34
13:31:22,352,21.86,48.34
13:31:25,353,21.88,48.34
13:31:28,354,21.88,48.33
13:31:31,355,21.88,48.33
13:31:34,356,21.85,48.3
13:31:37,357,21.83,48.33
13:31:40,358,21.86,48.39
13:31:43,359,21.83,48.35
13:31:46,360,21.86,48.37
13:31:49,361,21.86,48.37
13:31:52,362,21.86,48.39
13:31:55,363,21.85,48.33
13:31:58,364,21.86,48.36
13:32:01,365,21.85,48.37
13:32:05,366,21.83,48.4
13:32:08,367,21.85,48.42
13:32:11,368,21.82,48.42
13:32:14,369,21.83,48.42
13:32:17,370,21.85,48.47
13:32:20,371,21.82,48.57
13:32:23,372,21.85,48.59
13:32:26,373,21.82,48.64
13:32:29,374,21.8,48.56
13:32:32,375,21.82,48.66
13:32:35,376,21.8,48.65
13:32:38,377,21.82,48.63
13:32:41,378,21.82,48.6
13:32:44,379,21.8,48.59
13:32:47,380,21.8,48.52
13:32:51,381,21.8,48.47
13:32:53,382,21.8,48.41
13:32:56,383,21.76,48.19
13:32:59,384,21.83,47.99
13:33:02,385,21.79,47.71
13:33:06,386,21.83,47.61
13:33:08,387,21.79,47.53
13:33:12,388,21.79,47.44
13:33:15,389,21.78,47.32
13:33:18,390,21.79,47.26
13:33:21,391,21.78,47.22
13:33:24,392,21.8,47.27
13:33:27,393,21.78,47.34
13:33:30,394,21.78,47.37
13:33:33,395,21.78,47.34
13:33:36,396,21.78,47.39
13:33:39,397,21.8,47.41
